date,city,order_cnt,amount,pay_amount,discountAmount,refuelLiters
2023-1-7,镇江分公司,54517,15913453,15913453,0,2050716.16
2023-1-7,高速石油公司,135620,44504961.99,44504961.99,0,5699160.75
2023-1-7,,8796,2845270.02,2845270.02,0,368671.59
2023-1-8,中石化壳牌合资公司,100460,31374015.81,31374015.81,0,3993404.33
2023-1-8,南京分公司,122464,37032602.42,37032633.19,30.77,4774588.43
2023-1-8,南通分公司,83311,24899187.48,24899187.48,0,3179924.81
2023-1-8,宿迁分公司,38867,10452216.76,10452216.76,0,1341326.02
2023-1-8,常州分公司,69666,22172629.71,22172629.71,0,2913358.25
2023-1-8,徐州分公司,61136,16571693.93,16571693.93,0,2182261.12
2023-1-8,扬州分公司,43808,12725638.72,12725662.28,23.56,1635781.46
2023-1-8,无锡分公司,61190,19665339.02,19665339.02,0,2518723.83
2023-1-8,江阴分公司,21133,7135609.12,7135609.12,0,1316323.08
2023-1-8,泰州分公司,48678,14303501.95,14303529.22,27.27,1839289.07
2023-1-8,淮安分公司,36249,10760116.22,10760119.22,3,1392263.6
2023-1-8,盐城分公司,45270,13323724.28,13323728.78,4.5,1702693.36
2023-1-8,苏州分公司,108250,34216657.05,34216657.05,0,4382153.73
2023-1-8,连云港分公司,36393,9867895.78,9867895.78,0,1275159.31
2023-1-8,镇江分公司,34510,10503702.36,10503709.56,7.2,1354706.48
2023-1-8,高速石油公司,78008,26667842.17,26667842.17,0,3424306.18
2023-1-8,,6961,2177648.62,2177648.62,0,281296.47
2023-1-9,中石化壳牌合资公司,108407,34826112.78,34826112.78,0,4436938.72
2023-1-9,南京分公司,131940,41025312.21,41025374.24,62.03,5229220.69
2023-1-9,南通分公司,87942,26697847.86,26697847.86,0,3409416.01
2023-1-9,宿迁分公司,41517,11230136.31,11230136.31,0,1485840.14
2023-1-9,常州分公司,74469,24305729.33,24305747.33,18,3249267.41
2023-1-9,徐州分公司,65988,18428495.91,18428513.91,18,2403932.19
2023-1-9,扬州分公司,47385,14280976.21,14281020.37,44.16,1838631.74
2023-1-9,无锡分公司,67753,22184166.2,22184166.2,0,2840754.62
2023-1-9,江阴分公司,22235,7362183.4,7362183.4,0,980629.05
2023-1-9,泰州分公司,51389,15439239.88,15439239.88,0,1983755.78
2023-1-9,淮安分公司,39391,11807848.5,11807848.5,0,1523778.77
2023-1-9,盐城分公司,47981,14182213.56,14182213.56,0,1809347.64
2023-1-9,苏州分公司,120569,39554845.13,39554845.13,0,5077368.45
2023-1-9,连云港分公司,38548,10492963.8,10492963.8,0,1348557.9
2023-1-9,镇江分公司,36989,11830463.1,11830466.13,3.03,1527117.31
2023-1-9,高速石油公司,77896,26652216.66,26652216.66,0,3421465.16
2023-1-9,,7688,2375245.04,2375245.04,0,306552.84
