"id","area_code","name","country","path","text_day","code_day","text_night","code_night","high","low","wc_day","wd_day","wc_night","wd_night","date","week"
100,"101190101",南京,中国,"南京,南京市,江苏省,中国",多云,"01",多云,"01","26","16","3~4级",西南风,<3级,西南风,"2023-04-10 00:00:00",星期一
101,"101190101",南京,中国,"南京,南京市,江苏省,中国",多云,"01",多云,"01","27","12","3~4级",北风,"4~5级",东北风,"2023-04-11 00:00:00",星期二
102,"101190101",南京,中国,"南京,南京市,江苏省,中国",多云,"01",多云,"01","23","14","3~4级",东南风,"4~5级",东南风,"2023-04-12 00:00:00",星期三
103,"101190101",南京,中国,"南京,南京市,江苏省,中国",多云,"01",阴,"02","24","16","3~4级",东南风,"3~4级",东南风,"2023-04-13 00:00:00",星期四
104,"101190101",南京,中国,"南京,南京市,江苏省,中国",小雨,"07",多云,"01","24","14","3~4级",北风,<3级,北风,"2023-04-14 00:00:00",星期五
105,"101190101",南京,中国,"南京,南京市,江苏省,中国",多云,"01",多云,"01","25","15","3~4级",西南风,"4~5级",西风,"2023-04-15 00:00:00",星期六
106,"101190101",南京,中国,"南京,南京市,江苏省,中国",晴,"00",晴,"00","27","16","3~4级",东风,"3~4级",东风,"2023-04-16 00:00:00",星期日
107,"101190101",南京,中国,"南京,南京市,江苏省,中国",晴,"00",多云,"01","34","21","3~4级",东南风,"3~4级",西南风,"2023-04-17 00:00:00",星期一
108,"101190101",南京,中国,"南京,南京市,江苏省,中国",雷阵雨,"04",阴,"02","30","18","3~4级",西南风,<3级,东北风,"2023-04-18 00:00:00",星期二
109,"101190101",南京,中国,"南京,南京市,江苏省,中国",多云,"01",多云,"01","24","16","3~4级",北风,<3级,东南风,"2023-04-19 00:00:00",星期三
110,"101190101",南京,中国,"南京,南京市,江苏省,中国",雾,"18",多云,"01","26","15","3~4级",东南风,"4~5级",东北风,"2023-04-20 00:00:00",星期四
111,"101190101",南京,中国,"南京,南京市,江苏省,中国",阴,"02",多云,"01","23","10","3~4级",东北风,"5~6级",东北风,"2023-04-21 00:00:00",星期五
112,"101190101",南京,中国,"南京,南京市,江苏省,中国",阴,"02",中雨,"08","19","12","3~4级",东风,"4~5级",东风,"2023-04-22 00:00:00",星期六
113,"101190101",南京,中国,"南京,南京市,江苏省,中国",小雨,"07",小雨,"07","13","11","3~4级",东南风,"3~4级",东北风,"2023-04-23 00:00:00",星期日
114,"101190101",南京,中国,"南京,南京市,江苏省,中国",阴,"02",阴,"02","16","11","3~4级",东风,"3~4级",东风,"2023-04-24 00:00:00",星期一
115,"101190101",南京,中国,"南京,南京市,江苏省,中国",阴,"02",多云,"01","17","9","3~4级",西北风,"3~4级",西风,"2023-04-25 00:00:00",星期二
116,"101190101",南京,中国,"南京,南京市,江苏省,中国",多云,"01",晴,"00","21","12",<3级,东南风,<3级,东南风,"2023-04-26 00:00:00",星期三
