date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,进站加油车量（汽油）,进站加油车量（柴油）,进站率（汽油）,进站率（柴油）,站前车流量（汽油）,站前车流量（柴油）,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023/1/22,2023/1/22,68,18747.15,18747.15,0,2435.6,67,1,6.11,4.17,1096,23,"扬州,扬州市,江苏省,中国",多云,多云,7,4,<3级,北风,<3级,北风,星期日,,,,0,,,,,0,,,7.24,"[5.07, 6.59, 6.60, 7.24]",2,305.97,2215.25,,,0,,,7.59,"[5.49, 7.19, 7.59]",43,1363.01,10345.06,,,0,,,8.07,"[5.84, 7.57, 8.07]",23,766.62,6186.84,,,0,,
2023/1/23,2023/1/23,91,26211.52,26211.52,0,3441.77,53,7,3.8,14.58,1395,48,"扬州,扬州市,江苏省,中国",阵雨,小雪,9,-5,<3级,东北风,3~4级,北风,星期一,,,,0,,,,,0,,,7.24,"[5.07, 6.59, 6.60, 7.24]",3,732.98,5306.65,,,0,,,7.59,"[5.49, 7.19, 7.59]",64,1882.57,14288.37,,,0,,,8.07,"[5.84, 7.57, 8.07]",23,817.02,6593.5,,,0,,
2023/1/24,2023/1/24,124,38821.04,38821.04,0,5166.23,88,4,5.22,7.14,1685,56,"扬州,扬州市,江苏省,中国",多云,晴,-2,-8,3~4级,北风,<3级,东北风,星期二,,,,0,,,7.24,[],4,384.3,2782.3,7.24,"[5.07, 6.59, 6.60, 7.24]",13,1262.42,9139.6,,,0,,,7.59,"[5.49, 7.19, 7.59]",81,2420.97,18374.7,,,0,,,8.07,"[5.84, 7.57, 8.07]",24,1037.35,8371.47,,,0,,
2023/1/25,2023/1/25,129,45299.83,45299.83,0,6067.2,91,6,3.94,5.77,2310,104,"扬州,扬州市,江苏省,中国",晴,多云,1,-3,3~4级,南风,<3级,东南风,星期三,,,,0,,,7.24,[],5,1118.65,8098.98,7.24,"[5.07, 6.59, 6.60, 7.24]",5,1247.84,9034.36,,,0,,,7.59,"[5.49, 7.19, 7.59]",80,2250.96,17084.34,,,0,,,8.07,"[5.84, 7.57, 8.07]",36,1338.86,10804.93,,,0,,
2023/1/26,2023/1/26,169,52508.06,52508.06,0,6960.99,131,12,1.9,4.35,6909,276,"扬州,扬州市,江苏省,中国",多云,多云,6,-2,3~4级,东北风,<3级,西北风,星期四,,,,0,,,7.24,[],4,349.54,2530.61,7.24,"[5.07, 6.59, 6.60, 7.24]",15,2034.25,14727.81,,,0,,,7.59,"[5.49, 7.19, 7.59]",109,2961.78,22479.26,,,0,,,8.07,"[5.84, 7.57, 8.07]",39,1567.59,12650.81,,,0,,
2023/1/27,2023/1/27,171,52218.68,52218.68,0,7014.45,156,12,1.07,2.05,14631,587,"扬州,扬州市,江苏省,中国",多云,晴,3,-5,3~4级,北风,<3级,西北风,星期五,,,,0,,,7.24,[],6,733.58,5311.1,7.24,"[5.07, 6.59, 6.60, 7.24]",11,1623.04,11750.58,,,0,,,7.59,"[5.49, 7.19, 7.59]",110,3207.23,24341.94,,,0,,,8.07,"[5.84, 7.57, 8.07]",39,1290.54,10414.92,,,0,,
2023/1/28,2023/1/28,172,60701.72,60701.72,0,8174.12,108,5,1.05,0.83,10275,604,"扬州,扬州市,江苏省,中国",晴,多云,6,-4,3~4级,西风,<3级,西南风,星期六,,,,0,,,7.24,[],7,483.81,3502.65,7.24,"[5.07, 6.59, 6.60, 7.24]",19,3495.78,25309.09,,,0,,,7.59,"[5.49, 7.19, 7.59]",109,2865.27,21747.02,,,0,,,8.07,"[5.84, 7.57, 8.07]",31,1224.31,9880.6,,,0,,
2023/1/29,2023/1/29,186,57721.28,57721.28,0,7838.18,136,19,3,3.87,4534,490,"扬州,扬州市,江苏省,中国",多云,多云,11,-5,3~4级,西风,<3级,西北风,星期日,,,,0,,,7.24,[],8,829.95,6008.71,7.24,"[5.07, 6.59, 6.60, 7.24]",14,2020.87,14630.82,,,0,,,7.59,"[5.49, 7.19, 7.59]",117,3220.61,24455.21,,,0,,,8.07,"[5.84, 7.57, 8.07]",37,1473.85,11894.3,,,0,,
2023/1/30,2023/1/30,237,169417.26,169417.26,0,23273.41,158,11,3.82,2.14,4134,515,"扬州,扬州市,江苏省,中国",晴,晴,13,-1,<3级,南风,<3级,南风,星期一,,,,0,,,7.24,[],16,2521.71,18256.97,7.24,"[5.07, 6.59, 6.60, 7.24]",36,15138.23,109600.22,,,0,,,7.59,"[5.49, 7.19, 7.59]",125,3543.6,26895.37,,,0,,,8.07,"[5.84, 7.57, 8.07]",42,1703.65,13749.17,,,0,,
2023/1/31,2023/1/31,252,104066.87,104066.87,0,14350.84,173,24,3.96,3.7,4366,648,"扬州,扬州市,江苏省,中国",多云,多云,18,1,3~4级,西风,<3级,东北风,星期二,,,,0,,,7.24,[],27,3163.34,22902.27,7.24,"[5.07, 6.59, 6.60, 7.24]",28,5113.19,37019.06,,,0,,,7.59,"[5.49, 7.19, 7.59]",133,3807.45,28897.63,,,0,,,8.07,"[5.84, 7.57, 8.07]",41,1719.99,13880.76,,,0,,
