"dt","etp_area","is_hn","is_on_line","amt","discount_amount","pay_amount","num"
2024-03-24,"1",2,2,18771776.44,3366547.9276,18604652.40,56876.10
2024-03-24,"1",2,1,11814247.62,5844180.7000,11592564.70,34677.00
2024-03-24,"1",1,1,20930425.30,7982557.0900,17121656.34,39753.00
2024-03-23,"1",1,2,93373736.78,94020374.5500,88575184.78,51436.00
2024-03-23,"4",2,2,2575229.13,1718599.6300,2496500.58,3139.60
2024-03-23,"1",2,1,11611357.00,5766263.2200,11406017.00,33863.00
2024-03-23,"1",1,1,20547254.89,8178759.4900,16924198.30,38372.00
2024-03-23,"1",2,2,20252737.96,3746829.4085,20052982.54,64603.40
2024-03-23,"4",2,1,4176037.39,4176037.3900,4013818.58,12916.00
2024-03-22,"1",2,2,14671566.72,2885025.5128,14538820.60,44422.70
2024-03-22,"1",1,2,66146259.68,66400735.7100,63497663.68,46543.00
2024-03-22,"4",2,2,2266960.26,1739656.7600,2291960.34,2790.80
2024-03-22,"4",2,1,5315785.81,5315785.8100,5100251.16,19825.00
2024-03-22,"1",2,1,11575826.01,5836263.7100,11357994.67,34097.00
2024-03-22,"1",1,1,28922460.96,12693078.8600,23031603.82,48476.00
2024-03-21,"1",1,1,21348016.78,7991921.6100,17445153.92,36860.00
2024-03-21,"4",2,2,2530949.10,1771883.1000,2542579.21,3300.30
2024-03-21,"4",2,1,4917909.64,4917909.6400,4716163.17,14648.00
2024-03-21,"1",1,2,67627241.53,67962033.4000,64583104.53,43869.00
2024-03-21,"1",2,1,13319363.21,6749155.1900,13095427.21,39046.00
2024-03-21,"1",2,2,16746348.23,2771194.9412,16566781.29,50204.10
2024-03-20,"4",2,2,2028423.65,1372942.8500,1991665.59,2441.90
2024-03-20,"1",2,1,15103900.51,8332050.0500,14712906.95,51029.00
2024-03-20,"1",1,1,16664291.74,7317149.8100,14018350.84,30305.00
2024-03-20,"1",1,2,77742759.04,78166623.4900,73494242.04,46147.00
2024-03-20,"4",2,1,5914439.50,5914439.5000,5712873.95,18274.00
2024-03-20,"1",2,2,16788065.96,2912462.7972,16601692.06,48278.50
2024-03-19,"4",2,2,2462703.64,1633663.1400,2414713.97,3082.05
2024-03-19,"4",2,1,8265008.80,8265008.8000,8023096.85,28865.00
2024-03-19,"1",2,2,16708241.44,2799746.3384,16393424.44,48894.50
2024-03-19,"1",1,1,16923813.19,7817824.2500,14316041.53,29868.00
2024-03-19,"1",2,1,7301757.97,3341434.9500,7148879.80,19498.00
2024-03-19,"1",1,2,61512491.28,61769690.7800,58929703.28,43469.00
2024-03-18,"4",2,2,2136185.14,1305202.1400,2117785.00,2111.60
2024-03-18,"1",1,1,16352287.01,7397544.4400,13821532.05,28134.00
2024-03-18,"1",2,2,17408897.96,2595475.9276,17255975.77,48747.50
2024-03-18,"4",2,1,18808777.63,18808777.6300,18276954.92,66281.00
2024-03-18,"1",2,1,7349487.69,3511664.5900,7181376.11,20410.00
2024-03-18,"1",1,2,91070918.02,93460220.5600,87530100.02,43696.00
2024-03-17,"1",1,1,18333206.62,9215760.0000,15409187.51,33146.00
2024-03-17,"4",2,2,2409877.73,1847012.2300,2426508.99,3129.20
