date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,进站加油车量（汽油）,进站加油车量（柴油）,进站率（汽油）,进站率（柴油）,站前车流量（汽油）,站前车流量（柴油）,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,359占比,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,304占比,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,305占比,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,313占比,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023/1/31,2023/1/31,313,86647.62,86647.62,0,11310.52,194,11,6.57,11.11,2955,98,"扬州,扬州市,江苏省,中国",多云,多云,18,1,3~4级,西风,<3级,东北风,星期二,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",30,9.58%,2239.63,16214.14,7.59,"[5.49, 7.39, 7.59]",81,25.88%,2336.45,17731.1,7.59,"[5.49, 7.39, 7.59]",122,38.98%,3414.17,25909.58,,,0,,,8.07,"[5.84, 8.07]",80,25.56%,3320.27,26792.8,,,0,,
2023/2/1,2023/2/1,321,91384.5,91384.5,0,11942.14,236,8,8.19,7.41,2881,108,"扬州,扬州市,江苏省,中国",多云,多云,12,0,3~4级,东北风,<3级,东北风,星期三,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",32,9.97%,2502.92,18120.31,7.59,"[5.49, 7.39, 7.59]",79,24.61%,2140.63,16244.09,7.59,"[5.49, 7.39, 7.59]",129,40.19%,3900.64,29601.31,,,0,,,8.07,"[5.84, 8.07]",81,25.23%,3397.95,27418.79,,,0,,
2023/2/2,2023/2/2,368,308507.05,308507.05,0,41854.97,218,13,7.78,10.74,2800,122,"扬州,扬州市,江苏省,中国",多云,多云,7,1,<3级,东风,<3级,东北风,星期四,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",60,16.30%,31329.87,226827.04,7.59,"[5.49, 7.39, 7.59]",76,20.65%,2306.86,17506.79,7.59,"[5.49, 7.39, 7.59]",139,37.77%,4460.22,33848.44,,,0,,,8.07,"[5.84, 8.07]",93,25.27%,3758.02,30324.78,,,0,,
2023/2/3,2023/2/3,492,486914.91,486914.91,0,66299.93,293,14,9.72,12.39,3013,114,"扬州,扬州市,江苏省,中国",多云,多云,8,-2,<3级,东北风,<3级,东南风,星期五,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",73,14.84%,53197.2,385146.67,7.59,"[5.49, 7.39, 7.59]",120,24.39%,3441.6,26117.41,7.59,"[5.49, 7.39, 7.59]",170,34.55%,4803.48,36453.25,,,0,,,8.07,"[5.84, 8.07]",129,26.22%,4857.65,39197.58,,,0,,
2023/2/4,2023/2/4,267,74531.74,74531.74,0,9550.78,218,14,7.39,11.11,2949,125,"扬州,扬州市,江苏省,中国",多云,多云,11,1,<3级,东风,<3级,东风,星期六,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",29,10.86%,2331.82,17277.95,7.76,"[5.49, 7.56, 7.76]",62,23.22%,1623.04,12593.35,7.76,"[5.49, 7.56, 7.76]",112,41.95%,3062.55,23762.11,,,0,,,8.25,"[5.84, 8.25]",64,23.97%,2533.37,20898.33,,,0,,
2023/2/5,2023/2/5,271,67575.43,67575.43,0,8613.66,160,9,5.14,10,3113,91,"扬州,扬州市,江苏省,中国",多云,小雨,12,6,3~4级,南风,<3级,东风,星期日,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",26,9.59%,1406.08,10418.32,7.76,"[5.49, 7.56, 7.76]",63,23.25%,1712.89,13289.83,7.76,"[5.49, 7.56, 7.76]",117,43.17%,2974.13,23075.21,,,0,,,8.25,"[5.84, 8.25]",65,23.99%,2520.56,20792.07,,,0,,
2023/2/6,2023/2/6,274,83146.86,83146.86,0,10651.8,207,11,7.31,9.17,2831,120,"扬州,扬州市,江苏省,中国",小雨,小雨,9,6,<3级,东风,<3级,东北风,星期一,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",35,12.77%,2579.49,19113.11,7.76,"[5.49, 7.56, 7.76]",59,21.53%,1937.99,15037.45,7.76,"[5.49, 7.56, 7.76]",109,39.78%,3277.57,25430.58,,,0,,,8.25,"[5.84, 8.25]",71,25.91%,2856.75,23565.72,,,0,,
2023/2/7,2023/2/7,280,252816.6,252816.6,0,33572.72,182,12,6.06,7.74,3003,154,"扬州,扬州市,江苏省,中国",多云,多云,10,1,<3级,东北风,<3级,东北风,星期二,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",45,16.07%,26004.31,192691.11,7.76,"[5.49, 7.56, 7.76]",61,21.79%,1797.68,13948.44,7.76,"[5.49, 7.56, 7.76]",101,36.07%,2910.75,22584.54,,,0,,,8.25,"[5.84, 8.25]",73,26.07%,2859.98,23592.51,,,0,,
2023/2/8,2023/2/8,309,260437.72,260437.72,0,34584.25,192,8,6.19,5.48,3102,147,"扬州,扬州市,江苏省,中国",多云,小雨,10,6,3~4级,东风,<3级,东风,星期三,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",42,13.59%,26384.72,195509.99,7.76,"[5.49, 7.56, 7.76]",75,24.27%,1885.44,14628.74,7.76,"[5.49, 7.56, 7.76]",123,39.81%,3647.29,28299.82,,,0,,,8.25,"[5.84, 8.25]",69,22.33%,2666.8,21999.17,,,0,,
2023/2/9,2023/2/9,260,141547.07,141547.07,0,18557.91,166,13,5.61,9.03,2957,145,"扬州,扬州市,江苏省,中国",中雨,多云,7,4,3~4级,东风,<3级,北风,星期四,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",36,13.85%,11222.61,83158.53,7.76,"[5.49, 7.56, 7.76]",57,21.92%,1713.5,13295.17,7.76,"[5.49, 7.56, 7.76]",91,35.00%,2614.18,20283.15,,,0,,,8.25,"[5.84, 8.25]",76,29.23%,3007.62,24810.22,,,0,,
