date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023-2-10,2023-2-10,120,45195.4,45195.4,0,5967.21,"扬州,扬州市,江苏省,中国",阴,小雨,8,4,<3级,东风,3~4级,东风,星期五,,,,0,,,,,0,,,7.41,[7.41],34,3868.33,28663.54,7.76,[7.76],30,760.4,5899.84,7.76,[7.76],43,833.31,6464.9,,,0,,,8.25,[8.25],13,505.17,4167.12,,,0,,
2023-2-11,2023-2-11,94,29892.97,29892.97,0,3881.16,"扬州,扬州市,江苏省,中国",小雨,小雨,8,7,<3级,东风,<3级,东风,星期六,,,,0,,,,,0,,,7.41,[7.41],16,1635.67,12120.08,7.76,[7.76],31,769.72,5972.01,7.76,[7.76],31,760.33,5899.1,,,0,,,8.25,[8.25],16,715.44,5901.78,,,0,,
2023-2-12,2023-2-12,95,39021.14,39021.14,0,5143.36,"扬州,扬州市,江苏省,中国",小雨,中雨,10,3,<3级,北风,<3级,北风,星期日,,,,0,,,,,0,,,7.41,[7.41],16,3311.03,24534.46,7.76,[7.76],25,494.54,3836.81,7.76,[7.76],39,785.27,6092.24,,,0,,,8.25,[8.25],15,552.52,4557.63,,,0,,
2023-2-13,2023-2-13,108,39240.83,39240.83,0,5135.9,"扬州,扬州市,江苏省,中国",多云,多云,4,0,3~4级,东北风,<3级,北风,星期一,,,,0,,,,,0,,,7.41,[7.41],25,2942.88,21806.12,7.76,[7.76],25,662.81,5142.52,7.76,[7.76],34,672.68,5218.69,,,0,,,8.25,[8.25],24,857.53,7073.5,,,0,,
2023-2-14,2023-2-14,116,43881.04,43881.04,0,5770.65,"扬州,扬州市,江苏省,中国",多云,多云,6,-1,3~4级,北风,<3级,西北风,星期二,,,,0,,,,,0,,,7.41,[7.41],33,3589.78,26599.65,7.76,[7.76],30,801.82,6221.15,7.76,[7.76],34,642.86,4987.4,,,0,,,8.25,[8.25],19,736.19,6072.84,,,0,,
2023-2-15,2023-2-15,113,36812.77,36812.77,0,4838.36,"扬州,扬州市,江苏省,中国",多云,多云,7,-2,3~4级,东北风,<3级,东风,星期三,,,,0,,,,,0,,,7.41,[7.41],26,2948.04,21844.53,7.76,[7.76],31,633.68,4916.46,7.76,[7.76],35,639.14,4958.46,,,0,,,8.25,[8.25],21,617.5,5093.32,,,0,,
2023-2-16,2023-2-16,169,58755.14,58755.14,0,7702.19,"扬州,扬州市,江苏省,中国",多云,小雨,10,5,<3级,东南风,<3级,东南风,星期四,,,,0,,,,,0,,,7.41,[7.41],49,4533.62,33593.74,7.76,[7.76],40,1095.68,8501.03,7.76,[7.76],47,894.81,6942.2,,,0,,,8.25,[8.25],33,1178.08,9718.17,,,0,,
2023-2-17,2023-2-17,122,49157.11,49157.11,0,6462.15,"扬州,扬州市,江苏省,中国",多云,多云,11,9,<3级,南风,<3级,东南风,星期五,,,,0,,,,,0,,,7.41,[7.41],27,3784.86,28045.21,7.76,[7.76],36,971.31,7536.13,7.76,[7.76],41,1012.65,7856.6,,,0,,,8.25,[8.25],18,693.33,5719.17,,,0,,
2023-2-18,2023-2-18,117,35336.58,35336.58,0,4612.68,"扬州,扬州市,江苏省,中国",多云,多云,13,3,<3级,北风,<3级,北风,星期六,,,,0,,,,,0,,,7.41,[7.41],22,2176.3,16125.86,7.76,[7.76],37,976.56,7576.85,7.76,[7.76],41,831.99,6454.86,,,0,,,8.25,[8.25],17,627.83,5179.01,,,0,,
2023-2-19,2023-2-19,91,21498.1,21498.1,0,2775.16,"扬州,扬州市,江苏省,中国",多云,多云,9,-1,3~4级,东北风,<3级,东风,星期日,,,,0,,,,,0,,,7.41,[7.41],16,985.66,7303.58,7.76,[7.76],31,763,5919.99,7.76,[7.76],26,392.84,3047.63,,,0,,,8.25,[8.25],18,633.66,5226.9,,,0,,
